Species	Sample	Raw_abund	Rel_abund
species_1162	S25_BML	1	0.0981354
species_1162	S26_SRF	3	0.262009
species_1162	S8_BML	1	0.0896861
species_1163	S10_BML	1	0.0595948
species_1163	S10_SRF	1	0.06035
species_1163	S25_BML	1	0.0981354
species_1163	S25_SRF	3	0.280112
species_1163	S26_BML	9	1.02623
species_1163	S26_SRF	13	1.13537
species_1163	S8_BML	9	0.807175
species_1163	S8_SRF	4	0.538358
species_1164	S25_BML	1	0.0981354
species_1165	S10_SRF	5	0.30175
species_1165	S25_SRF	1	0.0933707
species_1165	S26_SRF	2	0.174672
species_1165	S8_SRF	1	0.13459
species_1166	S10_BML	1	0.0595948
species_1166	S25_BML	2	0.196271
species_1166	S25_SRF	2	0.186741
species_1166	S26_BML	2	0.22805
species_1166	S26_SRF	2	0.174672
species_1166	S8_SRF	1	0.13459
species_1167	S10_SRF	1	0.06035
species_1168	S10_BML	2	0.11919
species_1168	S25_SRF	1	0.0933707
species_1168	S26_BML	1	0.114025
species_1168	S26_SRF	3	0.262009
species_1169	S10_BML	1	0.0595948
species_1169	S25_SRF	1	0.0933707
species_1169	S26_SRF	2	0.174672
species_1169	S8_BML	1	0.0896861
species_1169	S8_SRF	2	0.269179
species_117	S25_BML	1	0.0981354
species_117	S26_SRF	2	0.174672
species_117	S8_BML	1	0.0896861
species_1170	S25_BML	2	0.196271
species_1170	S25_SRF	1	0.0933707
species_1170	S26_BML	8	0.912201
species_1170	S26_SRF	3	0.262009
species_1170	S8_SRF	1	0.13459
species_1171	S26_BML	1	0.114025
species_1172	S25_SRF	1	0.0933707
species_1172	S26_SRF	1	0.0873362
species_1172	S8_BML	1	0.0896861
species_1173	S25_BML	1	0.0981354
species_1174	S8_BML	1	0.0896861
species_1175	S8_BML	1	0.0896861
species_1176	S10_BML	2	0.11919
species_1176	S10_SRF	1	0.06035
species_1176	S25_SRF	2	0.186741
species_1176	S26_SRF	3	0.262009
species_1176	S8_BML	2	0.179372
species_1177	S10_BML	1	0.0595948
species_1177	S10_SRF	4	0.2414
species_1177	S25_BML	1	0.0981354
species_1177	S26_BML	1	0.114025
species_1177	S26_SRF	1	0.0873362
species_1177	S8_SRF	1	0.13459
species_1178	S25_BML	1	0.0981354
species_1179	S26_SRF	1	0.0873362
species_1179	S8_BML	1	0.0896861
species_118	S8_BML	1	0.0896861
species_1180	S25_BML	1	0.0981354
species_119	S10_BML	1	0.0595948
species_12	S25_BML	1	0.0981354
species_12	S25_SRF	1	0.0933707
species_120	S10_SRF	10	0.6035
species_121	S10_BML	11	0.655542
species_121	S10_SRF	33	1.99155
species_121	S25_BML	2	0.196271
species_121	S25_SRF	8	0.746965
species_121	S26_BML	2	0.22805
species_121	S26_SRF	1	0.0873362
species_121	S8_BML	9	0.807175
species_121	S8_SRF	2	0.269179
species_122	S26_SRF	1	0.0873362
species_123	S26_BML	1	0.114025
species_124	S25_BML	6	0.588813
species_125	S10_BML	1	0.0595948
species_125	S10_SRF	5	0.30175
species_126	S10_BML	1	0.0595948
species_127	S10_SRF	1	0.06035
species_127	S25_SRF	1	0.0933707
species_127	S26_BML	1	0.114025
species_127	S26_SRF	1	0.0873362
species_128	S25_BML	1	0.0981354
species_129	S25_BML	1	0.0981354
species_13	S8_SRF	1	0.13459
species_130	S10_BML	1	0.0595948
species_131	S10_SRF	1	0.06035
species_132	S25_SRF	1	0.0933707
species_132	S26_BML	1	0.114025
species_132	S8_BML	2	0.179372
species_133	S10_BML	2	0.11919
species_133	S25_BML	2	0.196271
species_133	S25_SRF	3	0.280112
species_133	S26_BML	2	0.22805
species_133	S8_BML	1	0.0896861
species_133	S8_SRF	3	0.403769
species_134	S10_BML	1	0.0595948
species_134	S25_BML	3	0.294406
species_134	S25_SRF	2	0.186741
species_134	S26_BML	4	0.4561
species_134	S26_SRF	6	0.524017
species_134	S8_BML	3	0.269058
species_134	S8_SRF	4	0.538358
species_135	S25_BML	1	0.0981354
species_136	S10_SRF	1	0.06035
species_137	S10_BML	1	0.0595948
species_138	S10_SRF	3	0.18105
species_139	S26_SRF	1	0.0873362
species_139	S8_SRF	1	0.13459
species_14	S8_BML	1	0.0896861
species_140	S10_BML	4	0.238379
species_140	S10_SRF	1	0.06035
species_140	S25_BML	2	0.196271
species_140	S25_SRF	4	0.373483
species_140	S26_BML	5	0.570125
species_140	S26_SRF	4	0.349345
